Alpha,SNP_A,SNP_B,SNP_C,SNP_D
0.512998,N2,N7,N36,M2Q3
0.512984,N0,N18,M1T3,M2Q3
0.512978,N2,M1T2,M1T3,M2Q1
0.512965,N2,N31,N37,M2Q3
0.512959,N2,N11,M0P1,M2Q3
0.512941,N0,N28,N36,M1T1
0.512939,N3,N9,N37,M2Q1
0.512937,N2,N9,N12,N28
0.512931,N0,N18,N34,M1T3
0.512930,N2,N18,M1T3,M2Q3
0.512926,N2,N6,N20,N34
0.512924,N2,N12,N24,N39
0.512923,N2,N24,M0P1,M2Q3
0.512919,N2,N36,M0P2,M2Q3
0.512918,N2,N6,N34,M2Q2
0.512918,N0,N2,N36,M1T1
0.512917,N2,N29,N36,M2Q1
0.512913,N2,N7,M0P1,M2Q3
0.512912,N0,N40,M2Q2,M2Q4
0.512907,N2,N12,N36,M1T1
0.512903,N2,N29,M0P1,M2Q1
0.512897,N3,N9,N31,M1T3
0.512896,N0,N28,M2Q2,M2Q3
0.512890,N2,N31,M0P1,M2Q3
0.512874,N0,N2,N12,M1T1
0.512870,N2,N33,N37,M2Q1
0.512869,N2,N22,M0P2,M1T2
0.512867,N3,N9,N39,M0P1
0.512863,N3,N31,M2Q3,M2Q4
0.512854,N0,N18,N29,M1T3
0.512850,N2,N6,N22,N34
0.512833,N2,N20,N22,M0P1
0.512832,N3,N7,N36,M2Q3
0.512832,N3,N18,M0P2,M1T3
0.512820,N2,N18,N38,M1T3
0.512818,N2,N22,N31,N34
0.512818,N0,N18,N24,M1T3
0.512818,N0,N18,M1T3,M2Q4
0.512814,N0,N9,N18,M1T3
0.512814,N0,N7,N31,M1T3
0.512808,N0,N31,M2Q3,M2Q4
0.512805,N3,N29,N36,M2Q1
0.512790,N2,N18,N29,M1T3
0.512780,N2,N11,N24,N31
0.512775,N2,N37,M0P1,M2Q3
0.512768,N3,N19,N37,M0P2
0.512768,N2,N12,M1T1,M1T2
0.512766,N2,N31,N36,M2Q3
0.512764,N0,N28,M0P2,M2Q3
0.512763,N0,N18,M0P2,M1T3
0.512761,N2,N36,M0P1,M2Q3
0.512760,N2,N29,N31,M2Q3
0.512758,N2,N31,N37,M1T3
0.512758,N0,N35,M0P1,M1T3
0.512753,N2,N7,N28,N31
0.512752,N0,N22,N37,M2Q3
0.512750,N3,N18,M1T3,M2Q3
0.512747,N2,N39,M1T2,M2Q2
0.512741,N2,N24,N31,M1T1
0.512735,N0,N20,N22,N34
0.512730,N3,M1T1,M1T3,M2Q3
0.512727,N0,N18,N20,M1T3
0.512726,N0,N13,N22,M2Q4
0.512725,N0,N18,N33,M1T3
0.512722,N2,N11,N34,M2Q3
0.512720,N2,N11,N22,N31
0.512717,N2,M0P1,M1T1,M2Q3
0.512701,N0,N28,N34,M2Q2
0.512695,N2,N20,N22,M2Q1
0.512690,N0,N18,N26,M1T3
0.512687,N2,N9,N12,M2Q4
0.512686,N2,N12,N31,M1T1
0.512683,N2,N40,M1T1,M2Q2
0.512680,N2,M1T3,M2Q3,M2Q4
0.512678,N2,N16,M1T2,M2Q1
0.512671,N3,N31,M1T2,M2Q2
0.512670,N2,N20,N38,M0P1
0.512662,N2,N30,M1T2,M2Q2
